pose,leg,actuator_force_N,transverse_force_N,roll_moment_Nmm,pitch_moment_Nmm,bushing_load_N,bushing_static_sf,rod_load_N,rod_deflection_mm,rod_bending_MPa,rod_bending_sf
"home (0, 0, 0)",1,-80.91187278870954,22.797064560401516,2.052828393384054e-11,15308.657019479377,133.27140796909526,4.051881856948809,11.398532280200936,0.14088101786514806,8.398762761048667,41.672804668708025
"home (0, 0, 0)",2,-80.91187278868028,22.797064560477622,1.3145040611561853e-12,9859.266034550401,87.85981642803941,6.146154430475972,11.398532280238822,0.14088101786561633,8.398762761076583,41.67280466856951
"home (0, 0, 0)",3,157.8862200000283,3.218120766715243e-11,1.8189894035458565e-12,22619.55286472514,188.49627387271755,2.8647781142063105,1.6106421132737484e-11,1.9906852457541033e-13,1.1867669161087662e-11,29491890551482.38
"corner (+90, +90, +90)",1,-81.3855698902187,23.62144411022362,4.7517892398651895e-12,24442.528845605546,209.59310140760215,2.5764206759355375,11.810722055111851,0.14597550842021034,8.70247590997926,40.21843939822341
"corner (+90, +90, +90)",2,-81.38556989001836,23.621444110346726,3.289812866569264e-12,14059.259840413026,123.06585969769525,4.387894427638026,11.810722055173391,0.14597550842097096,8.702475910024605,40.21843939801385
"corner (+90, +90, +90)",3,156.2823155836013,7.700284037575004e-11,3.456079866737127e-11,34636.0677270646,288.6338977255577,1.870882125263919,3.880194887193912e-11,4.795756083197979e-13,2.859037946559307e-11,12241880189845.172
"corner (-90, -90, -90)",1,-79.38617876498388,20.73470768951125,8.625584621557714e-12,5678.111457679171,52.5012724030376,10.28546500463019,10.3673538447557,0.12813609035913456,7.638961162850166,45.81774832186891
"corner (-90, -90, -90)",2,-79.38617876494766,20.734707689542894,1.2221335055073723e-12,13652.359728374222,118.95334132550424,4.5395950545209365,10.367353844771458,0.12813609035932932,7.6389611628617775,45.81774832179927
"corner (-90, -90, -90)",3,161.99261989984007,4.410873495706951e-11,3.637978807091713e-12,17180.426941305774,143.1702245108925,3.7717339750271637,2.2086002076857293e-11,2.7297360543199507e-13,1.627359446143382e-11,21507233747863.87
"corner (+90, -90, +90)",1,-81.38556989029689,24.83960529706034,8.051023389632483e-12,22676.2135002343,195.17834715955095,2.766700342833472,12.41980264853024,0.1535034858697051,9.15126381360834,38.246083505923444
"corner (+90, -90, +90)",2,-79.3861787648187,23.62144411033078,8.746781077206833e-12,15089.510806368777,131.6512844139892,4.101745018316128,11.810722055165467,0.145975508420873,8.702475910018764,40.21843939804084
"corner (+90, -90, +90)",3,155.03106784177908,7.121552591054672e-12,2.7853275241795927e-12,33941.80103836331,282.8483419863627,1.909150310755704,3.584996534868028e-12,4.430903457215399e-14,2.6415274050535324e-12,132499098563358.27
