bushing_spacing_mm,bushing_load_N,static_sf
40.0,432.95084658832684,1.2472547501759739
60.0,288.6338977255577,1.870882125263919
80.0,216.47542329417314,2.494509500351836
100.0,173.1803386353424,3.118136875439725
120.0,144.31694886278856,3.741764250527586
