pose,Fx_actuator_N,Fy_actuator_N,Fz_actuator_N,worst_link,worst_link_moment_Nmm,worst_link_bending_MPa,equilibrium_residual_N
"home (0, 0, 0)",-80.91187279146217,-80.91187279146217,157.8862200070369,link_C3,33183.89280000643,25.377191859047254,1.5373724215683204e-09
"corner (+90, +90, +90)",-81.38556989308418,-81.38556989308418,156.28231558782122,link_C3,32798.955740052115,25.082813448322746,2.6480167347216138e-09
"corner (-90, -90, -90)",-79.3861787672515,-79.3861787672515,161.99261990446428,link_C3,34169.4287759623,26.130874849061627,1.2526519631002351e-09
"corner (+90, -90, +90)",-81.38556989308418,-79.3861787668026,155.0310678461342,link_C3,32498.656282026786,24.853161158659034,2.7217317502254688e-09
