t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.26,0.0,-39.324,0.0,100.0,60.676,100.0,0.0,5.2,0.0,0.0,20.0,0.0,65.28688628110578,-65.28688628110578,59.99999999999999,-59.99999999999999,50.2526795308653,-68.86313841436458
0.27,0.0,-39.271,0.0,100.0,60.729,100.0,0.0,5.4,0.0,0.0,20.0,0.0,65.2799218394339,-65.2799218394339,59.99999999999999,-59.99999999999999,50.266187702372804,-68.85200169556678
0.28,0.0,-39.216,0.0,100.0,60.784,100.0,0.0,5.6000000000000005,0.0,0.0,20.0,0.0,65.2726941765529,-65.2726941765529,59.99999999999999,-59.99999999999999,50.2802048712592,-68.84044214419777
0.29,0.0,-39.159,0.0,100.0,60.841,100.0,0.0,5.8,0.0,0.0,20.0,0.0,65.2652032464766,-65.2652032464766,59.99999999999999,-59.99999999999999,50.29473095339081,-68.82845947480946
0.3,0.0,-39.1,0.0,100.0,60.9,100.0,0.0,6.0,0.0,0.0,20.0,0.0,65.25744900151024,-65.25744900151024,59.99999999999999,-59.99999999999999,50.30976586132635,-68.81605339177676
0.31,0.0,-39.039,0.0,100.0,60.961,100.0,0.0,6.2,0.0,0.0,20.0,0.0,65.24943139224682,-65.24943139224682,59.99999999999999,-59.99999999999999,50.32530950429024,-68.80322358931932
0.32,0.0,-38.976,0.0,100.0,61.024,100.0,0.0,6.4,0.0,0.0,20.0,0.0,65.24115036756294,-65.24115036756294,59.99999999999999,-59.99999999999999,50.34136178814495,-68.78996975152435
0.33,0.0,-38.911,0.0,100.0,61.089,100.0,0.0,6.6000000000000005,0.0,0.0,20.0,0.0,65.23260587461468,-65.23260587461468,59.99999999999999,-59.99999999999999,50.357922615362334,-68.77629155237018
0.34,0.0,-38.844,0.0,100.0,61.156,100.0,0.0,6.800000000000001,0.0,0.0,20.0,0.0,65.22379785883315,-65.22379785883315,59.99999999999999,-59.99999999999999,50.37499188499408,-68.76218865575059
0.35000000000000003,0.0,-38.775,0.0,100.0,61.225,100.0,0.0,7.000000000000001,0.0,0.0,20.0,0.0,65.21472626392017,-65.21472626392017,59.99999999999999,-59.99999999999999,50.392569492641094,-68.74766071550006
