case,load_N,lead_mm,dm_mm,dr_mm,lead_angle_deg,T_raise_thread_Nmm,T_lower_thread_Nmm,T_collar_Nmm,T_raise_Nmm,T_lower_Nmm,efficiency,mu_required_for_self_locking,self_locking,motor_torque_ratio,area_mm2,sigma_axial_MPa,tau_torsion_MPa,tau_thread_MPa,sigma_bearing_MPa,sigma_vonMises_MPa,safety_factor_yield,buckling_I_mm4,buckling_area_mm2,buckling_radius_gyration_mm,buckling_slenderness,buckling_slenderness_limit,buckling_P_euler_N,buckling_P_johnson_N,buckling_P_critical_N,buckling_safety_factor
design load from the static analysis,161.99261990446428,8.0,7.0,6.0,19.990512792909144,311.92289118881627,-111.88834727804651,9.719557194267857,321.6424483830841,-102.16879008377865,0.641256807534188,0.3513871312320655,False,0.07147609964068535,28.274333882308138,5.729316933822677,7.58384971382928,3.7692874564622874,1.2277107715334306,14.330715333647259,25.818669297775564,63.61725123519331,28.274333882308138,1.5,333.3333333333333,105.08704528448932,519.882241098587,-42167.2687081848,519.882241098587,3.209295839558551
load used in delivery 3,151.9,8.0,7.0,6.0,19.990512792909144,292.48917141734205,-104.91737192446558,9.114,301.603171417342,-95.80337192446558,0.6412568075341881,0.3513871312320655,False,0.06702292698163156,28.274333882308138,5.372363523479756,7.111353419742552,3.5344496864998396,1.1512207550313762,13.437869332965999,27.534126938733507,63.61725123519331,28.274333882308138,1.5,333.3333333333333,105.08704528448932,519.882241098587,-42167.2687081848,519.882241098587,3.422529566152646
