t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
0.6599999999999999,-53.4,0.0,0.0,46.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.1232569128168,-67.1232569128168,67.1232569128168,-67.1232569128168
0.69,-53.1,0.0,0.0,46.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.08438433180287,-67.08438433180287,67.08438433180287,-67.08438433180287
0.72,-52.8,0.0,0.0,47.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.0455005986073,-67.0455005986073,67.0455005986073,-67.0455005986073
0.75,-52.5,0.0,0.0,47.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,67.00660568570231,-67.00660568570231,67.00660568570231,-67.00660568570231
0.78,-52.2,0.0,0.0,47.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.96769956549987,-66.96769956549987,66.96769956549987,-66.96769956549987
0.8099999999999999,-51.9,0.0,0.0,48.10000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.92878221035151,-66.92878221035151,66.92878221035151,-66.92878221035151
0.84,-51.6,0.0,0.0,48.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.88985359254812,-66.88985359254812,66.88985359254812,-66.88985359254812
0.87,-51.3,0.0,0.0,48.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.85091368431958,-66.85091368431958,66.85091368431958,-66.85091368431958
0.8999999999999999,-51.0,0.0,0.0,49.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.8119624578347,-66.8119624578347,66.8119624578347,-66.8119624578347
0.9299999999999999,-50.7,0.0,0.0,49.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.77299988520079,-66.77299988520079,66.77299988520079,-66.77299988520079
0.96,-50.4,0.0,0.0,49.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.7340259384636,-66.7340259384636,66.7340259384636,-66.7340259384636
0.99,-50.1,0.0,0.0,49.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.69504058960698,-66.69504058960698,66.69504058960698,-66.69504058960698
1.02,-49.8,0.0,0.0,50.2,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.65604381055259,-66.65604381055259,66.65604381055259,-66.65604381055259
1.05,-49.5,0.0,0.0,50.5,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.6170355731598,-66.6170355731598,66.6170355731598,-66.6170355731598
1.08,-49.2,0.0,0.0,50.8,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.57801584922524,-66.57801584922524,66.57801584922524,-66.57801584922524
1.1099999999999999,-48.900000000000006,0.0,0.0,51.099999999999994,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.53898461048281,-66.53898461048281,66.53898461048281,-66.53898461048281
1.14,-48.6,0.0,0.0,51.39999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.49994182860321,-66.49994182860321,66.49994182860321,-66.49994182860321
1.17,-48.3,0.0,0.0,51.7,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.46088747519379,-66.46088747519379,66.46088747519379,-66.46088747519379
1.2,-48.0,0.0,0.0,52.0,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.4218215217983,-66.4218215217983,66.4218215217983,-66.4218215217983
1.23,-47.7,0.0,0.0,52.3,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.38274393989659,-66.38274393989659,66.38274393989659,-66.38274393989659
1.26,-47.4,0.0,0.0,52.60000000000001,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.34365470090445,-66.34365470090445,66.34365470090445,-66.34365470090445
1.29,-47.1,0.0,0.0,52.89999999999999,100.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,59.99999999999999,-59.99999999999999,66.30455377617322,-66.30455377617322,66.30455377617322,-66.30455377617322
